Analyst 21,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 22,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 23,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 24,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 25,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 26,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 27,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 28,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 29,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 30,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 31,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 32,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 33,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 34,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 35,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 36,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 37,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 38,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 39,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 40,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments
1,T21-SYHF ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30342,20/8/2018,,,1,T22-QURN ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34269,8/9/2018,,,1,T23-3PXM ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30525,9/8/2018,,,1,T24-LMSH ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36032,13/8/2018,,,1,T25-Y9UZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29790,5/9/2018,,,1,T26-GU9U ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30503,30/8/2018,,,1,T27-A0TC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29771,3/9/2018,,,1,T28-6I29 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35197,7/9/2018,,,1,T29-AC69 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34220,21/8/2018,,,1,T30-G0T4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30553,4/9/2018,,,1,T31-8IU6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35049,12/9/2018,,,1,T32-9J6Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35022,4/9/2018,,,1,T33-GSFK ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34754,20/9/2018,,,1,T34-D6R0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34541,5/9/2018,,,1,T35-RH5Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35571,19/8/2018,,,1,T36-7JE5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33854,4/9/2018,,,1,T37-0X8E ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34385,2/9/2018,,,1,T38-9AFC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30175,15/9/2018,,,1,T39-X3GW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32619,20/9/2018,,,1,T40-3SUH ,Amoxicillin,Amoxicillin,Suspicious,B,,,,32448,19/9/2018,
2,T21-AL9Z ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35221,9/8/2018,,,2,T22-K00C ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30159,27/8/2018,,,2,T23-PW9D ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31690,1/9/2018,,,2,T24-RPSI ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35172,10/9/2018,,,2,T25-NAZW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32474,9/9/2018,,,2,T26-OGIE ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34344,15/8/2018,,,2,T27-NIEO ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30128,17/9/2018,,,2,T28-KYE2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35266,7/9/2018,,,2,T29-JNLB ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34232,21/8/2018,,,2,T30-SJ37 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34102,23/9/2018,,,2,T31-JJHR ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35178,12/9/2018,,,2,T32-BIJW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36229,10/9/2018,,,2,T33-GCB8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33782,21/8/2018,,,2,T34-5MM5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34523,5/9/2018,,,2,T35-1A76 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36254,5/9/2018,,,2,T36-I7K1 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33842,6/9/2018,,,2,T37-2CZN ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34384,2/9/2018,,,2,T38-6MI0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30174,15/9/2018,,,2,T39-ODZR ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29680,11/8/2018,,,2,T40-97DM ,Amoxicillin,Amoxicillin,Suspicious,B,,,,35275,4/9/2018,
3,T21-7YCI ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33204,19/9/2018,,,3,T22-SL6O ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30146,28/8/2018,,,3,T23-HO0V ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33622,23/8/2018,,,3,T24-R8H2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35629,22/8/2018,,,3,T25-9ML2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31887,14/8/2018,,,3,T26-U0OW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30497,30/8/2018,,,3,T27-QZML ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35857,15/9/2018,,,3,T28-NNJQ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35267,7/9/2018,,,3,T29-NI8Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34221,21/8/2018,,,3,T30-1NNU ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33974,4/9/2018,,,3,T31-4ORT ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35718,18/8/2018,,,3,T32-Q92I ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34750,10/9/2018,,,3,T33-H8DK ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34768,20/9/2018,,,3,T34-5XA8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33816,16/8/2018,,,3,T35-1K6R ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31978,12/9/2018,,,3,T36-AYOA ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33845,5/9/2018,,,3,T37-AKCK ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34963,2/9/2018,,,3,T38-KHWD ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34616,4/9/2018,,,3,T39-6W6D ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32676,20/9/2018,,,3,T40-VE6S ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32450,19/9/2018,
4,T21-QEAZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35366,9/8/2018,,,4,T22-12DK ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35108,9/8/2018,,,4,T23-ACMJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30524,11/8/2018,,,4,T24-VSQD ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34058,31/8/2018,,,4,T25-TZLV ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29791,5/9/2018,,,4,T26-QH64 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30511,30/8/2018,,,4,T27-P5Y6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35862,15/9/2018,,,4,T28-DUWC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35196,7/9/2018,,,4,T29-WDUM ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34181,31/8/2018,,,4,T30-ZUB1 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30552,4/9/2018,,,4,T31-BBKF ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32082,27/8/2018,,,4,T32-XADZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32590,4/9/2018,,,4,T33-4AJI ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34723,20/9/2018,,,4,T34-VQ3G ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34581,20/9/2018,,,4,T35-1WDC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36241,2/9/2018,,,4,T36-QMB9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33679,23/9/2018,,,4,T37-EHER ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33615,18/8/2018,,,4,T38-9WQU ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32812,15/9/2018,,,4,T39-PNDL ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32320,20/9/2018,,,4,T40-JQ9Q ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35074,4/9/2018,
5,T21-PZ1G ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33189,19/9/2018,,,5,T22-BCYJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30144,29/8/2018,,,5,T23-6C9F ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33631,23/8/2018,,,5,T24-XTYL ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32726,22/8/2018,,,5,T25-EQW4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31836,14/8/2018,,,5,T26-8ARE ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35309,14/8/2018,,,5,T27-3IVY ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30078,21/8/2018,,,5,T28-SU2V ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35272,7/9/2018,,,5,T29-FX47 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34170,3/9/2018,,,5,T30-MC9W ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30551,4/9/218,,,5,T31-3Z66 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31805,27/8/2018,,,5,T32-4EEZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36308,10/9/2018,,,5,T33-RM3A ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34632,20/9/2018,,,5,T34-MEQY ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34487,5/9/2018,,,5,T35-XJN6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35578,19/8/2018,,,5,T36-UBEA ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33649,23/9/2018,,,5,T37-5MPF ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34281,8/9/2018,,,5,T38-LLE9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34622,4/9/2018,,,5,T39-TY8J ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33876,13/9/2018,,,5,T40-5K7K ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32449,19/9/2018,
6,T21-J6RZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31713,13/8/2018,,,6,T22-087M ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35058,10/8/2018,,,6,T23-JVUX ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33623,23/8/2018,,,6,T24-NN3Q ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36026,9/8/2018,,,6,T25-4WZU ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31810,14/8/2018,,,6,T26-RZAC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34855,16/8/2018,,,6,T27-027S ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29872,16/9/2018,,,6,T28-POMQ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35302,5/9/2018,,,6,T29-0S56 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34179,3/9/2018,,,6,T30-YMR7 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34103,23/9/2018,,,6,T31-2VAH ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35043,12/9/2018,,,6,T32-RFVO ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35114,10/9/2018,,,6,T33-7VGC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34770,20/9/2018,,,6,T34-TFS0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34607,20/9/2018,,,6,T35-8UGH ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31987,10/9/2018,,,6,T36-4ADX ,Amoxicillin,Amoxicillin,Suspicious,,,K,,32009,22/9/2018,,,6,T37-P53Z ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34282,8/9/2018,,,6,T38-CYVZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35466,15/8/2018,,,6,T39-STN1 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35425,13/9/2018,,,6,T40-BATA ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34977,19/8/2018,
7,T21-9YWD ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34900,24/8/2018,,,7,T22-9A7U ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29407,11/8/2018,,,7,T23-S7VI ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34247,10/8/2018,,,7,T24-E4DS ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36039,13/8/2018,,,7,T25-EY56 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31808,14/8/2018,,,7,T26-4LNC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30501,30/8/2018,,,7,T27-O7I9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31737,22/8/2018,,,7,T28-J1FU ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35265,7/9/2018,,,7,T29-LW38 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31778,12/9/2018,,,7,T30-EWL5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34088,23/9/2018,,,7,T31-HQOW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35051,12/9/2018,,,7,T32-H0TM ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36299,10/9/2018,,,7,T33-0PLR ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34753,20/9/2018,,,7,T34-HR79 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33803,16/8/2018,,,7,T35-YYYP ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31982,12/9/2018,,,7,T36-WILL ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32877,6/9/2018,,,7,T37-02PH ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34460,18/8/2018,,,7,T38-XB2K ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34621,4/9/2018,,,7,T39-O0XN ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32519,11/8/2018,,,7,T40-NAC0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34987,19/8/2018,
8,T21-D92B ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33205,19/9/2018,,,8,T22-MM4W ,Amoxicillin,Amoxicillin,Suspicious,,,K,,35106,9/8/2018,,,8,T23-3RL3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31691,1/9/2018,,,8,T24-FFJ8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,36013,9/8/2018,,,8,T25-HVWK ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32514,5/9/2018,,,8,T26-GW2M ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30502,30/8/2018,,,8,T27-GMI0 ,Amoxicillin,Amoxicillin,Suspicious,B,,,,30270,21/8/2018,,,8,T28-BUKE ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35195,7/9/2018,,,8,T29-SO8W ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34177,3/9/2018,,,8,T30-HKLQ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34096,23/9/2018,,,8,T31-VADY ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35048,12/9/2018,,,8,T32-QPVY ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34298,10/9/2018,,,8,T33-QTAG ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34841,9/9/2018,,,8,T34-G8PS ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34603,20/9/2018,,,8,T35-TU0B ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32646,13/9/2018,,,8,T36-QB8Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34651,17/8/2018,,,8,T37-JWQ3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34283,8/9/2018,,,8,T38-DL6T ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30169,15/9/2018,,,8,T39-RGBX ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33875,13/9/2018,,,8,T40-7HQN ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34995,19/8/2018,
9,T21-AXPB ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31744,10/8/2018,,,9,T22-0DSE ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30156,30/8/2018,,,9,T23-LLNP ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32025,1/9/2018,,,9,T24-FA6T ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34059,31/8/2018,,,9,T25-Z98A ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32513,5/9/2018,,,9,T26-4DCH ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30498,30/8/2018,,,9,T27-PXGC ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31738,21/8/2018,,,9,T28-C64D ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31912,14/8/2018,,,9,T29-Z1I4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34168,3/9/2018,,,9,T30-ZLGV ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33976,4/9/2018,,,9,T31-O43K ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35042,12/9/2018,,,9,T32-JLF3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35113,10/9/2018,,,9,T33-SDE5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34633,20/9/2018,,,9,T34-H4ZM ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34578,20/9/2018,,,9,T35-SC9Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35575,19/8/2018,,,9,T36-QQ8A ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34649,17/8/2018,,,9,T37-O8T0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33617,18/8/2018,,,9,T38-FLIP ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35467,15/8/2018,,,9,T39-YA11 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32517,11/8/2018,,,9,T40-5BTJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34986,19/8/2018,
10,T21-MCHJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,33201,19/9/2018,,,10,T22-7EAU ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30157,27/8/2018,,,10,T23-WHBR ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32975,13/8/2018,,,10,T24-EJ8P ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34056,31/8/2018,,,10,T25-DH34 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32512,5/9/2018,,,10,T26-8GV6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30508,30/8/2018,,,10,T27-67FG ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,29796,3/9/2018,,,10,T28-D5VI ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,35274,7/9/2018,,,10,T29-JOZW ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34231,21/8/2018,,,10,T30-9MP5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30554,4/9/2018,,,10,T31-8CKG ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31803,27/8/2018,,,10,T32-C5RD ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34296,10/9/2018,,,10,T33-UVSY ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34771,20/9/2018,,,10,T34-T382 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34600,20/9/2018,,,10,T35-PGHE ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,31934,12/9/2018,,,10,T36-13VN ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32499,4/9/2018,,,10,T37-G519 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,34629,2/9/2018,,,10,T38-IKF9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,30183,15/9/2018,,,10,T39-UQ48 ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32570,11/8/2018,,,10,T40-91VS ,Amoxicillin,Amoxicillin,Amoxicillin,,,,,32454,19/9/2018,
