Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T25-Y9UZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,29790.0,5/9/2018,
2.0,T25-NAZW ,Amoxicillin,Amoxicillin,Amoxicillin,,,32474.0,9/9/2018,
3.0,T25-9ML2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31887.0,14/8/2018,
4.0,T25-TZLV ,Amoxicillin,Amoxicillin,Amoxicillin,,,29791.0,5/9/2018,
5.0,T25-EQW4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31836.0,14/8/2018,
6.0,T25-4WZU ,Amoxicillin,Amoxicillin,Amoxicillin,,,31810.0,14/8/2018,
7.0,T25-EY56 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31808.0,14/8/2018,
8.0,T25-HVWK ,Amoxicillin,Amoxicillin,Amoxicillin,,,32514.0,5/9/2018,
9.0,T25-Z98A ,Amoxicillin,Amoxicillin,Amoxicillin,,,32513.0,5/9/2018,
10.0,T25-DH34 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32512.0,5/9/2018,
11.0,T25-MIS9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32786.0,5/9/2018,
12.0,T25-WKIX ,Amoxicillin,Amoxicillin,Amoxicillin,,,32788.0,5/9/2018,
13.0,T25-M806 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32789.0,5/9/2018,
14.0,T25-MQQF ,Amoxicillin,Amoxicillin,Amoxicillin,,,32478.0,9/9/2018,
15.0,T25-QUS6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32473.0,9/9/2018,
16.0,T25-3QSN ,Amoxicillin,Lactose,Suspicious,B,,32515.0,5/9/2018,
17.0,T25-Q7MO ,Amoxicillin,Lactose,Suspicious,B,,32472.0,9/9/2018,
18.0,T25-88NM ,Amoxicillin,Starch,Suspicious,B,,32476.0,9/9/2018,
19.0,T25-70T5 ,Amoxicillin,Starch,Suspicious,B,,32787.0,5/9/2018,
20.0,T25-HGTG ,Amoxicillin,Vitamin C,Suspicious,B,,32899.0,9/9/2018,
21.0,T25-QZJI ,Amoxicillin,Vitamin C,Suspicious,B,,31886.0,14/8/2018,
22.0,T25-HBTX ,Amoxicillin,Vitamin C,Suspicious,B,,31809.0,14/8/2018,
23.0,T25-ISHX ,Amoxicillin,Vitamin C,Suspicious,B,,32896.0,9/9/2018,
24.0,T25-533Z ,Amoxicillin,Vitamin C,Suspicious,B,,32901.0,9/9/2018,
25.0,T25-VDVR ,Amoxicillin,Vitamin C,Suspicious,B,,36234.0,5/9/2018,
26.0,T25-2F3L ,Amoxicillin,Cellulose,Suspicious,B,,31885.0,14/8/2018,
27.0,T25-KCYG ,Amoxicillin,Cellulose,Suspicious,B,,36235.0,5/9/2018,
28.0,T25-Y85C ,Amoxicillin,Cellulose,Suspicious,B,,32479.0,9/9/2018,
29.0,T25-SDL4 ,Amoxicillin,Paracetamol Starch,Suspicious,B,Yes,32475.0,9/9/2018,
30.0,T25-Y9JU ,Amoxicillin,Paracetamol Starch,Suspicious,B,Yes,31837.0,14/8/218,Lane K is present
31.0,T25-88KP ,Paracetamol,Paracetamol,Paracetamol,,,31838.0,14/8/2018,
32.0,T25-58TX ,Paracetamol,Paracetamol,Paracetamol,,,36204.0,5/9/2018,
33.0,T25-ZP0J ,Paracetamol,Paracetamol,Paracetamol,,,31884.0,14/8/2018,
34.0,T25-FNO1 ,Paracetamol,Paracetamol,Paracetamol,,,31883.0,14/8/2018,
35.0,T25-NVHP ,Paracetamol,Paracetamol,Paracetamol,,,31281.0,9/9/2018,
36.0,T25-HXZ6 ,Paracetamol,Paracetamol,Paracetamol,,,30571.0,9/9/2018,
37.0,T25-Q383 ,Paracetamol,Paracetamol,Paracetamol,,,31882.0,14/8/2018,
38.0,T25-9SAL ,Paracetamol,Paracetamol,Paracetamol,,,36207.0,5/9/2018,
39.0,T25-TVNN ,Paracetamol,Paracetamol,Paracetamol,,,36200.0,5/9/2018,
40.0,T25-BII1 ,Paracetamol,Paracetamol,Paracetamol,,,31871.0,14/8/2018,
41.0,T25-H5N4 ,Paracetamol,Paracetamol,Paracetamol,,,31780.0,9/9/2018,
42.0,T25-WJMG ,Paracetamol,Paracetamol,Paracetamol,,,36207.0,5/9/2018,
43.0,T25-ILKC ,Paracetamol,Paracetamol,Paracetamol,,,36206.0,5/9/2018,
44.0,T25-LYN3 ,Paracetamol,Paracetamol,Paracetamol,,,36205.0,5/9/2018,
45.0,T25-6LGD ,Paracetamol,Paracetamol,Paracetamol,,,30573.0,9/9/2018,
46.0,T25-DQH1 ,Paracetamol,Paracetamol,Paracetamol,,,36202.0,5/9/2018,
47.0,T25-A4F0 ,Paracetamol,Vitamin C,Paracetamol,,,36226.0,5/9/2018,
48.0,T25-9KRI ,Paracetamol,Vitamin C,Paracetamol,,,30568.0,9/9/2018,
49.0,T25-PUKC ,Paracetamol,Vitamin C,Paracetamol,,,31866.0,14/8/2018,
50.0,T25-D0SQ ,Paracetamol,Vitamin C,Paracetamol,,,31869.0,14/8/2018,
51.0,T25-ZY45 ,Paracetamol,Vitamin C,Paracetamol,,,29406.0,5/9/2018,
52.0,T25-4V8B ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,30572.0,9/9/2018,
53.0,T25-7MUY ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,30575.0,9/9/2018,
54.0,T25-H421 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,30574.0,9/9/2018,
55.0,T25-7XVS ,Paracetamol,Lactose,Paracetamol,,,30570.0,9/9/2018,
56.0,T25-WKEG ,Paracetamol,Lactose,Paracetamol,,,31870.0,14/8/2018,
57.0,T25-K1PZ ,Paracetamol,Cellulose,Paracetamol,,,36227.0,5/9/2018,
58.0,T25-J7DS ,Paracetamol,Cellulose,Paracetamol,,,31867.0,14/8/2018,
59.0,T25-9T80 ,Paracetamol,Cellulose,Paracetamol,,,31868.0,14/8/2018,
60.0,T25-FFNK ,Paracetamol,Cellulose,Suspicious,K,,30569.0,9/9/2018,
61.0,T25-RIHY ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32333.0,4/9/2018,
62.0,T25-BY17 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32265.0,4/9/2018,
63.0,T25-IX7S ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30586.0,19/8/2018,
64.0,T25-8230 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32484.0,9/9/2018,
65.0,T25-0L23 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30579.0,19/8/2018,
66.0,T25-SQOY ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32486.0,9/9/2018,
67.0,T25-6JE9 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32267.0,4/9/2018,
68.0,T25-RNR5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32891.0,9/9/2018,
69.0,T25-FS58 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32487.0,9/9/2018,
70.0,T25-SWM2 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32483.0,9/9/2018,
71.0,T25-YT1W ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30587.0,19/8/2018,
72.0,T25-AH3B ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30578.0,19/8/2018,
73.0,T25-H4VR ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32482.0,9/9/2018,
74.0,T25-OVGZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30588.0,19/8/2018,
75.0,T25-ABO8 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30584.0,19/8/2018,
76.0,T25-H28D ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,30585.0,19/8/2018,
77.0,T25-XQVM ,Benzyl Penicillin,Starch,Suspicious,F,Yes,32264.0,4/9/2018,
78.0,T25-NOJ0 ,Benzyl Penicillin,Starch,Suspicious,F,Yes,32485.0,9/9/2018,
79.0,T25-U3TP ,Benzyl Penicillin,Starch,Suspicious,F,Yes,32481.0,9/9/2018,
80.0,T25-SNPZ ,Benzyl Penicillin,Cellulose,Suspicious,F,,30536.0,19/8/2018,
81.0,T25-18LM ,Benzyl Penicillin,Cellulose,Suspicious,F,,32893.0,9/9/2018,
