Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T31-8IU6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35049.0,12/9/2018,
2.0,T31-JJHR ,Amoxicillin,Amoxicillin,Amoxicillin,,,35178.0,12/9/2018,
3.0,T31-4ORT ,Amoxicillin,Amoxicillin,Amoxicillin,,,35718.0,18/8/2018,
4.0,T31-BBKF ,Amoxicillin,Amoxicillin,Amoxicillin,,,32082.0,27/8/2018,
5.0,T31-3Z66 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31805.0,27/8/2018,
6.0,T31-2VAH ,Amoxicillin,Amoxicillin,Suspicious,,,35043.0,12/9/2018,
7.0,T31-HQOW ,Amoxicillin,Amoxicillin,Amoxicillin,,,35051.0,12/9/2018,
8.0,T31-VADY ,Amoxicillin,Amoxicillin,Amoxicillin,,,35048.0,12/9/2018,
9.0,T31-O43K ,Amoxicillin,Amoxicillin,Amoxicillin,,,35042.0,12/9/2018,
10.0,T31-8CKG ,Amoxicillin,Amoxicillin,Amoxicillin,,,31803.0,27/8/2018,
11.0,T31-CZRF ,Amoxicillin,Amoxicillin,Amoxicillin,,,31804.0,27/8/2018,
12.0,T31-1Z5W ,Amoxicillin,Amoxicillin,Suspicious,,,35050.0,12/9/2018,
13.0,T31-XCVI ,Amoxicillin,Amoxicillin,Amoxicillin,,,32087.0,27/8/2018,
14.0,T31-TNBV ,Amoxicillin,Amoxicillin,Amoxicillin,,,32086.0,27/8/2018,
15.0,T31-PFET ,Amoxicillin,Amoxicillin,Amoxicillin,,,35182.0,12/9/2018,
16.0,T31-8ZSN ,Amoxicillin,Amoxicillin,Amoxicillin,,,35713.0,17/8/2018,
17.0,T31-W73W ,Amoxicillin,Amoxicillin,Amoxicillin,,,35717.0,18/8/2018,
18.0,T31-BI04 ,Amoxicillin,Vitamin C,Suspicious,B,,31802.0,27/8/2018,
19.0,T31-13L1 ,Amoxicillin,Vitamin C,Suspicious,B,,31800.0,27/8/2018,
20.0,T31-B2YZ ,Amoxicillin,Vitamin C,Suspicious,B,,35176.0,12/9/2018,
21.0,T31-RV0Z ,Amoxicillin,Vitamin C,Suspicious,B,,31801.0,27/8/2018,
22.0,T31-938C ,Amoxicillin,Vitamin C,Suspicious,B,,30411.0,17/8/2018,
23.0,T31-DQLZ ,Amoxicillin,Vitamin C,Suspicious,B,,35177.0,12/9/2018,
24.0,T31-CY20 ,Amoxicillin,Vitamin C,Suspicious,B,,30328.0,17/8/2018,
25.0,T31-DJL1 ,Amoxicillin,Lactose,Suspicious,B,,35719.0,17/8/2018,
26.0,T31-377W ,Amoxicillin,Lactose,Suspicious,B,,35180.0,12/9/2018,
27.0,T31-BJ3Q ,Amoxicillin,Lactose,Suspicious,B,,31807.0,27/8/2018,
28.0,T31-5AOQ ,Amoxicillin,Lactose,Suspicious,B,,31806.0,27/8/2018,
29.0,T31-6TA2 ,Amoxicillin,Lactose,Suspicious,B,,35712.0,17/8/2018,
30.0,T31-IDAA ,Amoxicillin,Lactose,Suspicious,B,,35181.0,12/9/2018,
31.0,T31-T3138 ,Paracetamol,Paracetamol,Paracetamol,,,35046.0,13/9/2018,
32.0,T31-7D72 ,Paracetamol,Paracetamol,Paracetamol,,,35285.0,13/9/2018,
33.0,T31-W4MK ,Paracetamol,Paracetamol,Paracetamol,,,29686.0,4/9/2018,
34.0,T31-3XUQ ,Paracetamol,Paracetamol,Paracetamol,,,35041.0,13/9/2018,
35.0,T31-E93L ,Paracetamol,Paracetamol,Paracetamol,,,31629.0,4/9/2018,
36.0,T31-1K19 ,Paracetamol,Paracetamol,Paracetamol,,,35700.0,18/8/2018,
37.0,T31-154E ,Paracetamol,Paracetamol,Paracetamol,,,29687.0,4/9/2018,
38.0,T31-353F ,Paracetamol,Paracetamol,Paracetamol,,,35703.0,18/8/2018,
39.0,T31-FQ7I ,Paracetamol,Paracetamol,Paracetamol,,,35284.0,13/9/2018,
40.0,T31-EVEV ,Paracetamol,Paracetamol,Paracetamol,,,35701.0,18/8/2018,
