Analyst #,Bad Samples ID,out of bad,Sensitivity,Good Samples ID,out of good,Specificity,total correct,Total % right,Accuracy
21,3,3,100%,7,7,100%,10,100%,100%
22,3,4,75%,6,6,100%,9,90%,87.50%
23,3,4,75%,5,6,83%,8,80%,79%
24,3,4,75%,6,6,100%,9,90%,87.50%
25,4,4,100%,6,6,100%,10,100%,100%
26,2,4,50%,6,6,100%,8,80%,75%
27,2,4,50%,5,6,83%,7,70%,66.50%
28,4,4,100%,6,6,100%,10,100%,100%
29,3,4,75%,6,6,100%,9,90%,87.50%
30,4,4,100%,6,6,100%,10,100%,100%
31,3,4,75%,6,6,100%,9,90%,87.50%
32,4,4,100%,6,6,100%,10,100%,100%
33,4,4,100%,4,6,67%,8,80%,83.50%
34,3,3,100%,7,7,100%,10,100%,100%
35,4,4,100%,6,6,100%,10,100%,100%
36,4,4,100%,6,6,100%,10,100%,100%
37,3,4,75%,6,6,100%,9,90%,87.50%
38,4,4,100%,6,6,100%,10,100%,100%
39,3,4,75%,6,6,100%,9,90%,87.50%
40,4,4,100%,6,6,100%,10,100%,100%
AVERAGE,3.4,3.9,86.25%,5.9,6.1,96.65%,9.25,92.50%,91.50%
